iter	Passed	Remaining
846	1421	256
847	1423	255
848	1424	253
849	1426	251
850	1427	249
851	1429	248
852	1431	246
853	1432	244
854	1434	243
855	1435	241
856	1437	239
857	1438	238
858	1440	236
859	1441	234
860	1443	233
861	1445	231
862	1446	229
863	1448	227
864	1449	226
865	1451	224
866	1453	222
867	1454	221
868	1456	219
869	1457	217
870	1459	216
871	1461	214
872	1463	212
873	1465	211
874	1466	209
875	1468	207
876	1470	206
877	1471	204
878	1473	202
879	1474	201
880	1475	199
881	1477	197
882	1478	195
883	1480	194
884	1481	192
885	1483	190
886	1484	189
887	1486	187
888	1488	185
889	1489	184
890	1491	182
891	1492	180
892	1494	179
893	1495	177
894	1497	175
895	1498	173
896	1500	172
897	1502	170
898	1503	168
899	1505	167
900	1506	165
901	1508	163
902	1510	162
903	1512	160
904	1513	158
905	1515	157
906	1516	155
907	1518	153
908	1520	152
909	1522	150
910	1524	148
911	1525	147
912	1526	145
913	1528	143
914	1529	142
915	1531	140
916	1533	138
917	1535	137
918	1536	135
919	1538	133
920	1539	132
921	1541	130
922	1543	128
923	1544	127
924	1545	125
925	1547	123
926	1549	121
927	1550	120
928	1551	118
929	1553	116
930	1554	115
931	1556	113
932	1557	111
933	1559	110
934	1561	108
935	1562	106
936	1564	105
937	1566	103
938	1567	101
939	1569	100
940	1570	98
941	1572	96
942	1574	95
943	1575	93
944	1577	91
945	1579	90
946	1581	88
947	1582	86
948	1584	85
949	1586	83
950	1587	81
951	1589	80
952	1591	78
953	1593	76
954	1595	75
955	1596	73
956	1598	71
957	1600	70
958	1601	68
959	1603	66
960	1605	65
961	1607	63
962	1608	61
963	1610	60
964	1611	58
965	1613	56
966	1615	55
967	1616	53
968	1618	51
969	1619	50
970	1621	48
971	1622	46
972	1624	45
973	1625	43
974	1627	41
975	1629	40
976	1630	38
977	1632	36
978	1633	35
979	1635	33
980	1636	31
981	1637	30
982	1639	28
983	1640	26
984	1642	25
985	1643	23
986	1645	21
987	1646	19
